02.15.2022 12:59:01.328,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.15.2022 12:59:21.386,Time From start37.32615Redhead,Whitehair,18,Redhead fights <target>,-0.224929683621676,0.29671462244213,-0.016975338985207,-0.247422651983844,0.326386084686343,-0.0186728728837277,NAN,
02.15.2022 12:59:24.419,Time From start40.35945Redhead,-,4,Redhead rips the - off the hanger,-0.26977956370107,0.283122626887836,-0.0157972504171882,-0.296757520071177,0.311434889576619,-0.017376975458907,NAN,
02.15.2022 12:59:25.923,Time From start41.86371Redhead,Whitehair,16,Redhead chases <target>,-0.278988381290249,0.299797721583963,-0.035165360689108,-0.306887219419274,0.32977749374236,-0.0386818967580188,NAN,
02.15.2022 12:59:26.976,Time From start42.91544Redhead,Whitehair,17,Redhead expels <target> from the room,-0.369691643714687,0.38788316897663,-0.0907415606600373,-0.406660808086156,0.426671485874293,-0.099815716726041,NAN,
02.15.2022 12:59:27.502,Time From start43.44176Redhead,Whitehair,23,Redhead kicks <target> from the back,-0.388600895154633,0.391246674040985,-0.10301931432811,-0.427460984670096,0.430371341445084,-0.113321245760921,NAN,
02.15.2022 12:59:28.029,Time From start43.96878Redhead,Whitehair,21,Redhead greets <target>,-0.374714885996169,0.388334207272077,-0.0969891210949723,-0.412186374595786,0.427167627999285,-0.106688033204469,NAN,
02.15.2022 12:59:28.557,Time From start44.4973Redhead,Whitehair,16,Redhead chases <target>,-0.379726290630998,0.400800838690124,-0.113109556491387,-0.417698919694098,0.440880922559137,-0.124420512140525,NAN,
02.15.2022 12:59:29.083,Time From start45.02352Redhead,Whitehair,34,Redhead greets <target> in response,-0.365929027519093,0.395792830213697,-0.106978460835112,-0.402521930271002,0.435372113235066,-0.117676306918623,NAN,
02.15.2022 12:59:30.134,Time From start46.07369Redhead,Whitehair,21,Redhead greets <target>,-0.353597039687502,0.393866552878486,-0.0998495893584245,-0.388956743656252,0.433253208166335,-0.109834548294267,NAN,
02.15.2022 12:59:36.305,Time From start52.24488Redhead,Whitehair,30,Redhead pushes <target> into the trash,-0.386256793465992,0.420982932828406,-0.161931515834211,-0.424882472812592,0.463081226111247,-0.178124667417632,NAN,
02.15.2022 12:59:40.239,Time From start56.17887Redhead,-,4,Redhead rips the - off the hanger,-0.389394225458874,0.423773103422489,-0.160312200651739,-0.428333648004762,0.466150413764738,-0.176343420716913,NAN,
02.15.2022 12:59:44.691,Time From start60.63094Redhead,-,6,Redhead takes the -,-0.427585262564574,0.464817895645642,-0.147599443307036,-0.470343788821032,0.511299685210206,-0.16235938763774,NAN,
